str_no_string|NO STRING!
str_battle_won_grudging_pitiless|Your help was most valuable today. I would not imagine that you came to help me out of kindness, but I nonetheless thank you.
str_battle_won_grudging_cunning|It would be unwise of me not to thank you for coming to help me in my hour of need. So... You have my gratitude.
str_battle_won_grudging_sadistic|Well! How touching! {playername} has come to rescue me.
str_battle_won_grudging_goodnatured|{playername}! I can't say that we've always gotten along in the past, but you fought well today. My thanks to you!
str_battle_won_grudging_upstanding|Perhaps I was wrong about you. Your arrival was most timely. You have my gratitude.
str_battle_won_unfriendly_default|So you're here. Well, better late than never, I suppose.
str_battle_won_unfriendly_martial|We have had harsh words in the past, but for now let us simply enjoy our victory.
str_battle_won_unfriendly_quarrelsome|If you're standing there waiting for thanks, you can keep waiting. Your help wasn't really needed, but I guess you had nothing better to do, right?
str_battle_won_unfriendly_pitiless|You have come here, like a jackal to a lion's kill. Very well then, help yourself to the spoils. I shall not stop you.
str_battle_won_unfriendly_cunning|{playername}... Well, I suppose your arrival didn't hurt, although I won't pretend that I'm happy to see you.
str_battle_won_unfriendly_sadistic|Back off, carrion fowl! This was my victory, however hard you may try to steal the glory for yourself.
str_battle_won_unfriendly_goodnatured|Oh, it's you. Well, I suppose I should thank you for your help.
str_battle_won_unfriendly_upstanding|Thank you for coming to my support. Now I will be off, before I say something that I regret.
str_troop_train_request_default|I need someone like you to knock them into shape.
str_troop_train_request_martial|They need someone to show them the meaning of valor.
str_troop_train_request_quarrelsome|Fat lazy bastards. They make me sick.
str_troop_train_request_pitiless|They are more afraid of the enemy than they are of me, and that will not do.
str_troop_train_request_cunning|But men, like swords, are tempered and hardened by fire.
str_troop_train_request_sadistic|They need someone with steel in his back to flog some courage into them, or kill them trying.
str_troop_train_request_goodnatured|They're good enough lads, but I am afraid that they are not quite ready for battle just yet.
str_troop_train_request_upstanding|It would be tantamount to murder for me to lead them into combat in their current state.
str_unprovoked_attack_default|What? Why do you attack us? Speak, you rascal!
str_unprovoked_attack_martial|I have no objection to a trial of arms, but I would ask you for what reason you attack us?
str_unprovoked_attack_quarrelsome|You're making a big mistake, {boy/girl}. What do you think you're doing?
str_unprovoked_attack_pitiless|Indeed? If you really want to die today, I'd be more than happy to oblige you, but I am curious as to what you hope to accomplish.
str_unprovoked_attack_cunning|Really? I think that you are acting most unwisely. What do you hope to gain by this?
str_unprovoked_attack_sadistic|What's this? Do you enjoy having your eyes put out?
str_unprovoked_attack_goodnatured|Why do you do this? We have no quarrel, {sir/madame}.
str_unprovoked_attack_upstanding|I shall take all appropriate measures against this unprovoked assault! -- But tell me... why do you do this?
str_unnecessary_attack_default|I will not hesitate to cut you down if pressed, but I will offer you the chance to ride away from this.
str_unnecessary_attack_martial|I am eager to take you up on your challenge, {sir/madame}, although I will give you a minute to reconsider.
str_unnecessary_attack_quarrelsome|Bah! I'm in no mood for this nonsense today. Get out of my way.
str_unnecessary_attack_pitiless|I am in a merciful mood today. I will pretend that I did not hear you.
str_unnecessary_attack_cunning|I don't see what you have to gain by making an enemy of me. Maybe you should just ride away.
str_unnecessary_attack_sadistic|I have no time to waste on a worm like you. Get out of my way.
str_unnecessary_attack_goodnatured|I don't see what you have to gain by picking a fight, {sir/madame}. You can still ride away.
str_unnecessary_attack_upstanding|If a fight is what you wish, {sir/madame}, then you will have one, but I will yet offer you the chance to back down.
str_lord_challenged_default|As you wish. Prepare to die!
str_lord_challenged_martial|So be it. Defend yourself!
str_lord_challenged_quarrelsome|You lowly dog! I'll crush you!
str_lord_challenged_pitiless|If you so badly wish to die, then I have no choice but to oblige you.
str_lord_challenged_cunning|Very well, you leave me no choice...
str_lord_challenged_sadistic|You heap of filth! I'll make you wish you'd never been born.
str_lord_challenged_goodnatured|Very well. I had hoped that we might avoid coming to blows, but I see that I have no choice.
str_lord_challenged_upstanding|So be it. It saddens me that you cannot be made to see reason.
str_lord_mission_failed_default|Well, I am disappointed, but I am sure that you will have many chances to redeem yourself.
str_lord_mission_failed_martial|There is no honor in failing a quest which you endeavored to take, but I will accept your word on it.
str_lord_mission_failed_quarrelsome|You failed? Bah. I should have expected as much from the likes of you.
str_lord_mission_failed_pitiless|You failed? Well. You disappoint me. And that is a most unwise thing to do.
str_lord_mission_failed_cunning|Well, I am disappointed, but none can guarantee that the winds of fortune will always blow their way.
str_lord_mission_failed_sadistic|Indeed? Those who fail me do not always live to regret it.
str_lord_mission_failed_goodnatured|Oh well. It was a long shot, anyway. Thank you for making an effort.
str_lord_mission_failed_upstanding|Well, what can one do... I am sure that you gave it your best effort.
str_lord_follow_refusal_default|Follow you? You forget your station, {sir/madame}.
str_lord_follow_refusal_martial|Perhaps if you one day prove yourself a valorous and honorable warrior, and then I should gladly follow you. But not today.
str_lord_follow_refusal_quarrelsome|Follow someone like you? I don't think so.
str_lord_follow_refusal_pitiless|Nobles like me do not follow people like you, {sir/madame}.
str_lord_follow_refusal_cunning|First show me that you are the type of {man/woman} who will not lead me into disaster, and then perhaps I will follow you.
str_lord_follow_refusal_sadistic|I think not! Rather, you should follow me, as a whipped cur follows {his/her} master.
str_lord_follow_refusal_goodnatured|Um, I am a bit pressed with errands right now. Perhaps at a later date.
str_lord_follow_refusal_upstanding|First show me that you are worthy of command, and then perhaps I shall follow you.
str_lord_insult_default|base varlot
str_lord_insult_martial|dishonorable knave
str_lord_insult_quarrelsome|filth-swilling bastard
str_lord_insult_pitiless|low-born worm
str_lord_insult_cunning|careless oaf
str_lord_insult_sadistic|sniveling cur
str_lord_insult_goodnatured|unpleasant fellow
str_lord_insult_upstanding|disgraceful scoundrel
str_rebellion_dilemma_default|[subject]
str_rebellion_dilemma_martial|{s45} was clearly wronged. Although I gave an oath to {s46}, it does not bind me to support him if he usurped his throne illegally.
str_rebellion_dilemma_quarrelsome|Hmm. {s46} has never given me my due, so I don't see that I owe him much. However, {s45} might be no better, and {s46} has at least shown himself .
str_rebellion_dilemma_pitiless|Hmm. {s45} says {reg3?she:he} is the rightful heir to the throne. This is good -- it absolves me of my oath to {s46}. But still I must weigh my decision carefully...
str_rebellion_dilemma_cunning|Hmm. I gave an oath of homage to {s46}, though the powerful are not bound by their oaths as are ordinary people. Our duty is to our own ability to rule, to impose order, and prevent war.
str_rebellion_dilemma_sadistic|Hmm. In this vile world, a wise man must think of himself, for no one else will. So -- what is in it for me?
str_rebellion_dilemma_goodnatured|I do not know what to say. I gave an oath to {s46} as the lawful ruler, but if he is not the lawful ruler, I cannot imagine that I am still bound.
str_rebellion_dilemma_upstanding|This spells troublesome. It is a grave thing to declare my homage to {s46} null and void, and dissolve the bonds which prevent our land from sinking into anarchy. Yet I am also pledged to support the legitimacy of the succession, and {s45} also has a valid claim to the throne.
str_rebellion_dilemma_2_default|[subject]
str_rebellion_dilemma_2_martial|On the other hand, {s46} has led us in both war and peace, and I am loathe to renounce my allegiance.
str_rebellion_dilemma_2_quarrelsome|So tell me, why should I turn my back on a bastard I know, in favor of {reg3?a woman:a bastard} I don't?
str_rebellion_dilemma_2_pitiless|It is a most perilous position to be in, to be asked whom I would make {reg3?ruler:king} of this land. Yet it is also a time of opportunity, for me to reap the rewards that have always been my due!
str_rebellion_dilemma_2_cunning|{s46} has been challenged, and thus he will never be able to rule as strongly as one whose claim has never been questioned. Yet if {s45} takes the throne by force, {reg3?she:he} will not be as strong as one who succeeded peacefully.
str_rebellion_dilemma_2_sadistic|Perhaps if I join {s45} while {reg3?she:he} is still weak {reg3?she:he} will enrich me, but if on the other hand I bring {s46} your head, I might receive an even greater reward.
str_rebellion_dilemma_2_goodnatured|{s46} has always treated me with decency, but it is true that he has done wrong to {s45}. I hesitate to renounce my homage to {s46}, but I also think it is wrong to support injustice.
str_rebellion_dilemma_2_upstanding|I feel that I must do whatever is best for the realm. I should not wish it laid to waste by civil war and ravaged by its enemies.
str_rebellion_prior_argument_very_favorable|I have already heard some arguments in support of your candidate for the throne, and I tend to agree with them.
str_rebellion_prior_argument_favorable|I have already heard some arguments in support of your candidate for the throne, and I tend to agree with them.
str_rebellion_prior_argument_unfavorable|I have already heard some arguments for supporting your candidate for the throne, but I do not find them convincing.
str_rebellion_prior_argument_very_unfavorable|I have already heard some arguments for supporting your candidate for the throne, but I disagree with most of them.
str_rebellion_rival_default|[subject]
str_rebellion_rival_martial|Your ally {s44} once questioned my honor and my bravery. I look forward to the chance of facing him in battle, that I might make him eat his words.
str_rebellion_rival_quarrelsome|You're working with {s44}. He's a crafty weasel, and I don't trust him one bit.
str_rebellion_rival_pitiless|You seem to have enlisted the support of {s44}... He is soft and weak, and not fit to govern a fief, and one whom I have always detested.
str_rebellion_rival_cunning|{s44}, who has already joined you, is headstrong and quarrelsome, and something of a of liability.
str_rebellion_rival_sadistic|I have no desire to fight alongside your ally {s44}, who puts on such a nauseating display of virtue.
str_rebellion_rival_goodnatured|I would be reluctant to throw my lot in with the likes of {s44}, who has quite a reputation for cruelty.
str_rebellion_rival_upstanding|Your ally {s44} is in my opinion a dangerous, unreliable, and highly unprincipled man.
str_rebellion_argument_favorable|I respect your line of argument
str_rebellion_argument_neutral|I find your line of argument somewhat compelling
str_rebellion_argument_unfavorable|I do not find your line of argument compelling
str_rebellion_persuasion_favorable|you talk sense
str_rebellion_persuasion_neutral|your reasons are clear
str_rebellion_persuasion_unfavorable|you make an unconvincing case
str_rebellion_relation_very_favorable|I have the greatest respect for you personally.
str_rebellion_relation_favorable|I know and respect you personally.
str_rebellion_relation_neutral|I do not know you as well as I might like.
str_rebellion_relation_unfavorable|I do not trust you.
str_and_comma_3|Furthermore, 
str_but_comma_3|However,
str_and_comma_1|, and 
str_but_comma_1|, but 
str_and_comma_2|. Moreover, 
str_but_comma_2|. I think, 
str_rebellion_agree_default|[subject]
str_rebellion_agree_martial|Very well, I have decided. I shall back {s45} as the rightful heir.
str_rebellion_agree_quarrelsome|Ahh, it seems you talk sense. I never did like {s46} much anyway. A more worthy man should sit on the throne.
str_rebellion_agree_pitiless|You are fortunate. I have decided to join you. Pray do not give me cause to regret this decision.
str_rebellion_agree_cunning|This is a most dangerous plan... but after careful consideration, I have decided that I will join you. Let us pray that we are not making a terrible mistake.
str_rebellion_agree_sadistic|Oh well... I will back your {reg3?woman:man} {s45}. But you'd best make sure that {reg3?she:he} rewards me well!
str_rebellion_agree_goodnatured|All right. I think your {reg3?woman:man} will be a good ruler. I shall join you.
str_rebellion_agree_upstanding|So be it. My first duty is to this realm, and to save it from lawlessness I will back {s45} and renounce my homage to {s46}. May Heaven forgive me if I am wrong.
str_rebellion_refuse_default|[subject]
str_rebellion_refuse_martial|I fear I must disappoint you. {s45} has a good claim, but it is not enough for me to turn my back on {s46}. I will remain loyal to my lord.
str_rebellion_refuse_quarrelsome|I say nay. Your whelp {s45} doesn't have what it takes to rule this realm. I'm sticking with {s46}.
str_rebellion_refuse_pitiless|Nay, I will not support your rebellion. Your rage is that of a spoilt child who cries for a new toy. {s46} rules by right, and a just ruler he is!
str_rebellion_refuse_cunning|Forgive me, but I do not believe you stand much of a chance. Many shall die, and I have no desire to be one of them. I'm afraid we must go our separate ways.
str_rebellion_refuse_sadistic|No, these games are not for me. You strive for the crown, but in the end you'll only hang from the gallows, as {s46} and I look on.
str_rebellion_refuse_goodnatured|Forgive me, but {s46} does not deserve my betrayal. I hope you won't hold my refusal against me.
str_rebellion_refuse_upstanding|Forgive me, but I do not believe {s45} could rule fairly, and I shall not support an uprising. I fear I must go my own way, may Heaven forgive me if I'm wrong.
str_talk_later_default|[subject]
str_talk_later_martial|Now is no time to talk politics! I am here today with my fellow lords, armed for battle. You had better prepare to fight.
str_talk_later_quarrelsome|Do you expect me to discuss betraying my lord with you, while we are surrounded by his army? What do you take me for, a bloody idiot?
str_talk_later_pitiless|Still your tongue! Whatever I have to say on this matter, I will not say it here and now, while we are in the midst of our army.
str_talk_later_cunning|This is hardly the time or the place for such a discussion. Perhaps we can discuss it at a later time and a different place, but for now we remain enemies.
str_talk_later_sadistic|You should have your mouth sewn shut! Can you imagine what would happen if the other nobles see me speaking to you of treason?
str_talk_later_goodnatured|So you wish to discuss your rebellion with me? Try again when we aren't surrounded by my lord's army, and I will hear what you have to say.
str_talk_later_upstanding|Whatever my thoughts on the legitimacy of the succession, I am not about to discuss them here and now. If we should meet again where we can talk in privacy, then I shall hear what you have to say on the matter. But for now, consider me your enemy.
str_gossip_about_character_default|They say that {s6} is rather a bore.
str_gossip_about_character_martial|They say that {s6} loves nothing more than war.
str_gossip_about_character_quarrelsome|They say that {s6} almost came to blows with another noble lately, because the man made a joke about his nose.
str_gossip_about_character_selfrighteous|I heard that {s6} had a squire executed because the unfortunate man killed a deer in his forest.
str_gossip_about_character_cunning|They say that {s6} is a cunning opponent.
str_gossip_about_character_sadistic|They say that {s6} likes to torture his enemies. I wouldn't want to get on the bad side of that man.
str_gossip_about_character_goodnatured|They say that {s6} is a good man and treats people living in his lands decently. That is more than can be said for most of the nobles.
str_gossip_about_character_upstanding|People say that it is good to be in the service of {s6}. He is good to his followers, and rewards them if they work well.
str_latest_rumor|The latest rumor you heard about {s6} was:
str_swadian_rebellion_pretender_intro|I am the Grand Hetman of Lithuania, Prince Janusz Radziwill.
str_vaegir_rebellion_pretender_intro|I am the chief of the Don Cossacks. Stepan Razin they call me.
str_khergit_rebellion_pretender_intro|I am Mehmed, of the Crimean Girays.
str_nord_rebellion_pretender_intro|My name is Christina, the Sixth Queen of Sweden, the mistress of all Goths and Wends.
str_rhodok_rebellion_pretender_intro|My name is Ivan Barabash. Aye, the Hetman whom all believe long dead.
str_swadian_rebellion_pretender_story_1|We Radziwill are descendants of the Grand Prince of Lithuania, Gediminas, just as the Jagiellon that ruled the Polish Commonwealth. Compared to us, the kings of today are just newcomers with no right either to the crown of Poland, or to that of Lithuania.
str_vaegir_rebellion_pretender_story_1|I have been on many raids against the Tatars at the behest of the Moscow Tsar. And how does he show his gratitude? My brother was executed on a calumny, I am now hunted and ordered to be jailed.
str_khergit_rebellion_pretender_story_1|I am the elder son of Khan Selyamet. Until recently, the Khan's palace in Bakhchisaray was my rightful dwelling, but the Sultan of the Porte to whom all Giray swear allegiance considered me unfit for my duties, and put my younger brother, Islam, in my place!
str_nord_rebellion_pretender_story_1|I am the only daughter of King Gustaf II Adolf and Maria Eleanor of Brandenburg. All the estates of Sweden swore to me an oath of allegiance when I reached one year of age. As future queen, I received a splendid education. I mastered seven languages -- German, Dutch, Danish, Italian, Spanish, Greek and Latin; I have read Aesop, Justinus, Livius, Caesar, and Vergilius. When I reached twelve, I was already quite adept at politics and the art of war.
str_rhodok_rebellion_pretender_story_1|A Cossack by blood, I am. I was the yesaul of the regiment, then a Colonel, then acting Hetman of the Zaporozhian Host. In all ages I tried to live in peace with the Polish gentry... Yet the field secretary, Bogdan Hmelnitski, stirred up the Zaporozhians of the Sich and began a rebellion. The serving Cossacks under my leadership helped the crown forces to quell the rebels, but before the Battle of Yellow Waters, Hmelnitski managed to draw all the chiefs to his side.
str_swadian_rebellion_pretender_story_2|The Polish king is elected by senators. This is the root of all our misfortunes. The Polish Commonwealth shall never become a great nation until a true king reigns from the throne, one who would bear the title by right of blood and not by whim of the gentry.
str_vaegir_rebellion_pretender_story_2|The Tsar of Russia dreams of strangling all the liberties of the Don, yet the Cossacks shall stand up for themselves. Once a true heir to the throne arrives, we shall start a rebellion. And then just wait, Alexei Mikhailovich!
str_khergit_rebellion_pretender_story_2|My being deposed was a terrible injustice! Islam Giray knows nothing of stately affairs, and rather than supporting the Polish Commonwealth, he aims for a union with the Cossacks. Only together with the Polish king can we hold back the dragon of Moscow in its onslaught south...
str_nord_rebellion_pretender_story_2|Rising to the throne, I chose to remain a virgin, much like Elizabeth of England, and I chose my brother-in-law, Carl Gustaf of Pfalz, as my heir. Yet the treacherous Carl was not content with the natural flow of time, and desired to hurry his way to power.
str_rhodok_rebellion_pretender_story_2|The night before the battle, they entered the hetman's tent, but I was warned beforehand, and escaped with my life. They thought I was dead, once they saw a body cut to pieces. But it was only the body of my servant. You know what I say? Hmelnitski does not have the future of our people in mind, he is moved by vainglory and revenge. He spells the end Ukraine -- of this I have no doubt.
str_swadian_rebellion_pretender_story_3|I need daring people to rise up against the invader and restore Great Lithuania. And I have full right, as the elder of Zmudz, the warlord of Vilna, and the Great Hetman of Lithuania!
str_vaegir_rebellion_pretender_story_3|In all sincerity, I would have long cried out the rallying cry, "Saryn on kichka!" But where can I find the one who would claim the Tsar's throne?
str_khergit_rebellion_pretender_story_3|I seek trusted allies. If the Crimean Mirzas would take my side, then the Sultan would have no choice but to appoint me Khan once more.
str_nord_rebellion_pretender_story_3|After securing the support of the army, he forced me to abdicate. And this after I won the Thirty-Year War and bestowed heretofore unimagined privileges on the nobles! I am sure, if only I issue a call, that Sweden will rally under my hand once more!
str_rhodok_rebellion_pretender_story_3|Once I become hetman once more, I can settle matters with the Polish Commonwealth, and Ukraine shall prosper anew among brotherly nations!
str_swadian_rebellion_monarch_response_1|If you are in secret talks with Radziwill, I fear I have to disappoint you. These Zmudz Protestants have too high an opinion of their kin, though they are nothing more than arrogant Lithuanian magnates whose purses are as over-stuffed as their ambition.
str_vaegir_rebellion_monarch_response_1|Word has it that one of the Cossack chiefs, what's his name... Stenka Razin, eh -- that he has started a rebellion against the Don. I can hardly wait to see him in the Kremlin. In chains, of course.
str_khergit_rebellion_monarch_response_1|I see you have spoken to the loser Mehmed? Yea, a Khan he was, yet after the coward gave up our lands on the Caucasus to the Tsar of Moscow, and took the Cossacks' side, the glorious Sultan, may his rule last for ages, restored justice and handed me the reins of government.
str_nord_rebellion_monarch_response_1|Christina is longing for the throne? She was always a loose cannon. First she almost led the nation into ruin -- doubled the ranks of nobles, gave away the lands of the crown, while she squandered the treasury for court entertainment and pretty-petties for her favorites. Then suddenly she turned to Catholicism.
str_rhodok_rebellion_monarch_response_1|Ivan Barabash has long since sold out to the damned Poles. Became the field marshal and levied unbearable taxes on the Cossacks to curry favor with the Polish king -- and then helped spread the Catholic faith. That traitor shall lead Ukraine right back into Polish serfdom.
str_swadian_rebellion_monarch_response_2|A horseless gentryman of Poland would become king sooner than any of these Vilna schismatics.
str_vaegir_rebellion_monarch_response_2|We Romanovs are the rightful holders of the Cap of Monomakh, and these mutineers who resolved to rebel against us will be placed on racks and broken on the wheel. If you have involved yourself in their affairs by foolishness or lack of wit, then go to the Secret Department and confess all you know -- or pay the price.
str_khergit_rebellion_monarch_response_2|I doubt his return would gladden the Mirzas. Thus my advice would be to forget of his existence. The only man longing to meet him is my new executioner.
str_nord_rebellion_monarch_response_2|Whatever she might say today, she abdicated of her own free will. Her abdication was officially accepted at the Rijksdag, and taxes are set on Gottland, Aland, Asel, Pomerania and other regions. Sweden is a nation of Protestant soldiers, and it has no need for a Catholic queen who pretends she is Elizabeth of England.
str_rhodok_rebellion_monarch_response_2|The Pereyaslav Council ordered all Cossacks to swear homage to the Tsar of Moscow. Only under the wing of an Orthodox nation would our people be truly free. And believe me, the future of our land lies not in a union with Catholic Poland. Only a hetman who lost his mind would make war against Russia...
str_credits_1|Mount & Blade^With Fire and Sword
str_credits_2|Sich Studio (Kiev)^^Project Manager and Video engineer:^Maxim Gorban^^Artists:^Andrei Domrachev^Sergei Shaterny^^Game Design:^Alexei Fedorych^^Written by:^Alexander Trubnikov^^Programmer: ^Vladimir Kushneruk
str_credits_3|Contributions by:^Akrit^Davlet Giray-khan^Niko^АВС^Rebalancer^Yomen^Bestt^^Special thanks to:^To the forum and the entire Sich community (http://empiretw.ru),^Unicorn Games and Nickolai Matiychuk.^Aperion Studio, Olga Belaya and Igor Shegolkovu in particular^the Vault Computer Club in Kiev,^the Playground computer club in Moscow.
str_credits_4|Unicorn Games (Kiev)^^Video engineer:^Nicholas Matiychuk^^Snowberry Connection (Stockholm)^^Executive producer:^Alexander Suslov^^International Marketing:^Pavel Nechaev^Vladimir Tortsov^^Licensing and Business Management:^Catherine Nemova
str_credits_8|Assistant to the Licensing Department:^Elena Radovskya^^Financial Department:^Alexei Zdorov^^Assistant to the Financial Department:^Andrei Zadorozhniy^^Producer:^Sergei Klimov^^Snowball Studios (Moscow)^^Producer:^Michael Bruhanov
str_credits_5|Technical Producers:^Michael Bruhanov^Alexander Radkevich^^Editors:^Uliana Erofeeva^Steve Breslin^^Cover Art:^Ganbat Badamkhand^^Artists:^Katherina Ladatko^Alexey Chistov
str_credits_6|Interface Artist:^Mikhail Kolbasnikov^^Printing Artist:^Mikhail Kolbasnikov^^Composers:^Vadim Gankin^Petr Salnikov^Vladimir Kochetkov^^Vocal Performance:^Svetlana Schegolkova^Tatyana Roslikova^Svetlana Amerikantzeva-Schegolkova
str_credits_9|Sound Producer:^Evelina Novikova^^Sound Supervisor:^Michael Matveev (RWS studio)^^Video Scripting:^Artem Schuyko^Alexander Suslov^^Intro video:^Alexander Safronov (SCWO)
str_credits_7|Special thanks to:^Aperion Studio, Olga Belaya and Igor Shegolkovu in particular^the Vault Computer Club in Kiev,^the Playground computer club in Moscow.
str_credits_10|QA team:^Michael Bruhanov^Alexander Radkevich^Victor Chaschin^Egor Botov^Sergey Egorov^Dmitry Kiyatkin^Viacheslav Erofeev^Stanislav Lobachev (Apeiron)^Nikita Pavlutin^Uliana Erofeeva^Alexander Suslov
str_credits_11|Promotion:^Svyatoslav Kozlov^Maria Konovalova^Alexander Suslov^Vlalimir Tortsov^Artem Schuyko^^Russian Website:^Anton Zhevlakov^^Marketing Director:^Pavel Nechaev^^Chief Editor:^Evelina Novikova^^Technical Director:^Vitaly Klimov
str_credits_12|TaleWorlds Entertainment (Ankara)^^Producer:^Mika'il Yazbeck^^Programming:^Armağan Yavuz^Cem Çimenbiçer
str_multi_scene_12|Random Plains (Medium)
str_multi_scene_13|Random Plains (Large)
str_multi_scene_14|Random Steppe (Medium)
str_multi_scene_15|Random Steppe (Large)
str_scn_mp_swed_zamok|Vyborg
str_scn_mp_nomad_camp|Nomad camp
str_scn_mp_mosk_kreml|Not ready
str_scn_mp_novgorod_fortress|A castle in the hills
str_scn_mp_rus_fortress|Oreshek
str_scn_mp_tevt_zamok|Not ready
str_scn_mp_mosk_monastyr|Monastery fortress
str_scn_mp_old_castle|Old castle
str_scn_mp_arena|Arena
str_scn_mp_marketplace|Marketplace
str_scn_mp_swamp_delta|Swamp delta
str_scn_mp_forest_camp|Forest camp
str_scn_mp_polya|Fields
str_scn_mp_hillroad|Hill road
str_scn_mp_hutor|Steppe farmstead
str_scn_mp_river_village|Village by the river
str_scn_mp_forest_edge|Forest skirt
str_scn_mp_forest_road|Road in the forest
str_multi_scene_end|multi scene end
str_multi_game_type_1|Deathmatch
str_multi_game_type_2|Team Deathmatch
str_multi_game_type_3|Battle
str_multi_game_type_5|Capture the Flag
str_multi_game_type_6|Conquest
str_multi_game_type_7|Siege
str_multi_game_type_8|Duel
str_multi_game_type_9|Captain Team Deathmatch
str_multi_game_type_10|Captain Co-op
str_multi_game_type_11|Captain Battle
str_poll_kick_player_s1_by_s0|{s0} started a poll to kick player {s1}.
str_poll_ban_player_s1_by_s0|{s0} started a poll to ban player {s1}.
str_poll_change_map_to_s1_by_s0|{s0} started a poll to change map to {s1}.
str_poll_change_map_to_s1_and_factions_to_s2_and_s3_by_s0|{s0} started a poll to change map to {s1} and factions to {s2} and {s3}.
str_poll_change_number_of_bots_to_reg0_and_reg1_by_s0|{s0} started a poll to change bot counts to {reg0} and {reg1}.
str_poll_kick_player|Poll to kick player {s0}: 1 = Accept, 2 = Reject
str_poll_ban_player|Poll to ban player {s0}: 1 = Accept, 2 = Reject
str_poll_change_map|Poll to change map to {s0}: 1 = Accept, 2 = Reject
str_poll_change_map_with_faction|Poll to change map to {s0} and factions to {s1} versus {s2}: 1 = Accept, 2 = Reject
str_poll_change_number_of_bots|Poll to change number of bots to {reg0} for {s0} and {reg1} for {s1}: 1 = Accept, 2 = Reject
str_poll_time_left|({reg0} seconds left)
str_poll_result_yes|The poll is accepted by the majority.
str_poll_result_no|The poll is rejected by the majority.
str_total_item_cost_reg0|Total cost: {reg0}
str_server_name|Server name:
str_game_password|Game password:
str_map|Map:
str_game_type|Game type:
str_max_number_of_players|Maximum number of players:
str_number_of_bots_in_team_reg1|Number of bots in team {reg1}:
str_team_reg1_faction|Team {reg1} faction:
str_enable_valve_anti_cheat|Enable Valve Anti-cheat (Requires valid Steam account)
str_allow_friendly_fire|Allow ranged friendly fire
str_allow_melee_friendly_fire|Allow melee friendly fire
str_friendly_fire_damage_self_ratio|Friendly fire damage self (%):
str_friendly_fire_damage_friend_ratio|Friendly fire damage friend (%):
str_spectator_camera|Spectator camera:
str_control_block_direction|Control block direction:
str_map_time_limit|Map time limit (minutes):
str_round_time_limit|Round time limit (seconds):
str_players_take_control_of_a_bot_after_death|Switch to bot on death:
str_team_points_limit|Team point limit:
str_point_gained_from_flags|Team points gained for flags (%):
str_point_gained_from_capturing_flag|Points gained for capturing flags:
str_respawn_period|Respawn period (seconds):
str_add_to_official_game_servers_list|Add to official game servers list
str_combat_speed|Combat speed:
str_combat_speed_0|Slowest
str_combat_speed_1|Slower
str_combat_speed_2|Medium
str_combat_speed_3|Faster
str_combat_speed_4|Fastest
str_defender_spawn_count_limit|Defender spawn count:
str_unlimited|Unlimited
str_automatic|Automatic
str_by_mouse_movement|By mouse movement
str_free|Free
str_stick_to_any_player|Lock to any player
str_stick_to_team_members|Lock to team members
str_stick_to_team_members_view|Lock to team members' view
str_make_factions_voteable|Allow polls to change factions
str_make_kick_voteable|Allow polls to kick players
str_make_ban_voteable|Allow polls to ban players
str_bots_upper_limit_for_votes|Bot count limit for polls:
str_make_maps_voteable|Allow polls to change maps
str_valid_vote_ratio|Poll accept threshold (%):
str_auto_team_balance_limit|Auto team balance threshold (diff.):
str_welcome_message|Welcome message:
str_initial_gold_multiplier|Starting gold (%):
str_battle_earnings_multiplier|Combat gold bonus (%):
str_round_earnings_multiplier|Round gold bonus (%):
str_allow_player_banners|Allow individual banners
str_force_default_armor|Force minimum armor
str_respawning_in_reg0_seconds|Respawning in {reg0} seconds...
str_no_more_respawns_remained_this_round|No lives left for this round
str_reg0_respawns_remained|({reg0} lives remaining)
str_this_is_your_last_respawn|(This is your last life)
str_wait_next_round|(Wait for the next round)
str_yes_wo_dot|Yes
str_no_wo_dot|No
str_we_resign|We have no strength left to put up a fight. We surrender to you, {playername}.
str_i_resign|I don't want to die today. I surrender.
str_s1_returned_flag|{s1} has returned their flag to their base!
str_s1_auto_returned_flag|{s1} flag automatically returned to their base!
str_s1_captured_flag|{s1} has captured the enemy flag!
str_s1_taken_flag|{s1} has taken the enemy flag!
str_s1_neutralized_flag_reg0|{s1} has neutralized flag {reg0}.
str_s1_captured_flag_reg0|{s1} has captured flag {reg0}!
str_s1_pulling_flag_reg0|{s1} has started pulling flag {reg0}.
str_s1_destroyed_catapult|{s1} destroyed the catapult!
str_s1_destroyed_trebuchet|{s1} destroyed the trebuchet!
str_s1_destroyed_all_targets|{s1} destroyed all targets!
str_s1_saved_1_target|{s1} saved one target.
str_s1_saved_2_targets|{s1} saved all targets.
str_s1_defended_castle|{s1} defended their castle!
str_s1_captured_castle|{s1} captured the castle!
str_auto_team_balance_in_20_seconds|Auto-balance will be done in 20 seconds.
str_auto_team_balance_next_round|Auto-balance will be done next round.
str_auto_team_balance_done|Teams have been auto-balanced.
str_s1_won_round|{s1} has won the round!
str_round_draw|Time is up. Round draw.
str_round_draw_no_one_remained|No one left. Round draw.
str_death_mode_started|Hurry! Become master of the field!
str_reset_to_default|Reset to Default
str_done|Done
str_player_name|Player Name
str_kills|Kills
str_deaths|Deaths
str_ping|Ping
str_dead|Dead
str_reg0_dead|{reg0} Dead
str_bots_reg0_agents|Bots ({reg0} agents)
str_bot_1_agent|Bot (1 agent)
str_score|Score
str_score_reg0|Score: {reg0}
