qstr_Next_Page|Next Page
qstr_OIM_add_getman_Bilo_|You decided to be straightforward in your diplomacy, and send a herald to explain your intentions...
qstr_Velikoye_Knyazestvo_|Grand Principality of Rus
qstr_OIM_add_getman_Koron|First the Black Mace, now the crown of Vytautas... A new day, a new mystery.
qstr_Mamay|Mamai
qstr_Nu_chto_zhe_budem_tr|The crown is apparently in {s3}. You shall have to sneak into the monastery dungeons to retrieve it...
qstr_OIM_add_getman_od_mo|From sea to sea -- such is the will of the new Grand Prince...
qstr_OIM_add_getman__Nu_ch|The path to the throne is a perilous one, with many hurdles along the way. A daring fellow who makes up his mind to overthrow the Tsar our father and take his place will need a cunning mind and valor second to none. He must be brave enough to fight in dreadful battles, and willing to spill innocent blood.
qstr_OiM_dmitriy_Teper_kog|{s4} is aggrieved by your refusal to aid him. Now there is little hope that he will speak to you of the history of the Time of Troubles.
qstr_OIM_add_getman__Nuzhn|You found out that a certain Gerasim Evangelic could tell you much about False Dmitry. You may search for Gerasim in {s3}.
qstr_OiM_The_elder_{s9}_s|{s9} said that the priest is in {s10}. Try talking to the townspeople -- perhaps they've seen him.
qstr_OiM_getman_Yavangeli|You discovered that Evangelic is in {s4}.
qstr_OIM_add_getman__Nuzhno|Before his last breath, Gerasim instructed you to speak with {s3}.
qstr_OiM_The_{s9}_prosil_|{s9} asked you to take Eleanor from {s10} and bring her to {s11}.
qstr_OiM_The_{s9}_prosilf|{s9} asked you to bring her to {s11}.
qstr_OiM_The_{s9}_prosilf_|{s9} asked you to bring a letter to {s11}.
qstr_OiM_The_{s9}_prosil_v|{s9} asked you to bring a letter to {s11}.
qstr_OiM_The_{s11}_dobriy|{s11} is a serious man. He was not interested in your explanations and sent you for interrogation straightaway.
qstr_OiM_The_Nu_chto_zhe_|Now that you have lost your patron, you have no choice but to go to {s11}.
qstr_OiM_Alevtina_v_Kafe_|Alevtina is imprisoned in Kafa.
qstr_OiM_pohozhe_alevtinu|It seems the Mirza will not simply allow Alevtina to leave. You may have to use force...
qstr_OiM_getman_Pohozhe_b|It seems Razin was not joking about the new Tsar... Very well -- so be it.
qstr_OiM_Teper_kogda_ya_p|Now that you are a claimant to the throne, you must persuade the nobles that you have a right to rule.
qstr_{s5}.|{s5}.
qstr_{s3}|{s3}
qstr_{s2}_{s3}|{s2}, {s3}
qstr_I_can_smell_a_fat_pu|I can smell a fat purse a mile away. Methinks yours could do with some lightening, eh?
qstr_Why_it_be_another_tr|Why, if it don't be another traveler, chance met upon the road! I should warn you, the country here's a mite dangerous for a good {fellow/woman} like yourself. But for a small donation, my boys and I will make sure you get rightaways to your destination, eh?
qstr_Well_well_look_at_th|Well well, look at this! Your purse is quite heavy, methinks. Donate a lil' good silver to us and we'll pass by in peace, right?
qstr_There_s_a_toll_for_p|There's a toll for passin' through this road, payable to us. So if you don't mind, cough up the silver, or we'll collect our due ourselves...
qstr_Another_fool_come_to|Another fool come to throw {him/her}self on my weapon, eh? Fine then, let's fight!
qstr_We_re_not_afraid_of_|We're not afraid of you, {sir/wench}. Time to bust some heads!
qstr_That_was_a_mistake._|That was a mistake. Now I'm going to have to make your death long and painful.
qstr_Brave_words._Let_s_s|Brave words. Let's see you back them up, dog!
qstr_A_{s5}?_Well..._Yes_|A {s5}? Well... Yes, I suppose it is. What a strange thing to ask.
qstr_Eh?_No_it_most_certa|Eh? No, it most certainly is not a {s5}. I'd start questioning my eyesight if I were you.
qstr_This_is_the_{reg4?to|This is the {reg4?town:village} of {s5}, {sir/madam}.
qstr_{s6}_Our_{reg4?town:|{s6} Our {reg4?town:village} and the surrounding lands belong to you of course, my {lord/lady}.
qstr_{s6}_Our_{reg4?town:v|{s6} Our {reg4?town:village} and the surrounding lands belong to {s7} of {s8}.
qstr_{s3}_and_{s5}|{s3} and {s5}
qstr_{s3}_{s5}|{s3}, {s5}
qstr_{reg20?We_mostly_pro|{reg20?We mostly produce {s5} here:We don't produce much here these days}. If you would like to learn more, you can speak with our {reg4?mayor:village elder}. He is nearby, right over there.
qstr__U_Vas_maximalnovozm|It seems you have a full complement even now, sir. Anything else?
qstr__U_Vas_ne_hvataet_de|You do not have enough coins to pay for the mercenaries, sir! Will there be anything else?
qstr___Skolko_naemnikov_n|How many men do you need?
qstr__U_vas_netu_etogo_ti|You have no one to rearm, sir. Will there be anything else?
qstr__Viberite_razdel|Well then, make your choice, sir. What is it your lads need?
